Finding ID,CBOM Record ID,Mission Thread ID,Discovery Date,Discovery Method,Tool / Capability,Coverage Domain,Asset / Endpoint,Internet or Internal,Observed Crypto Artifact,Algorithm / Protocol,Library / Package,Container Image / Digest,SBOM Reference,Evidence Location,Finding Confidence,Authoritative Record Matched?,Validation Status,Blind Spot / Limitation,False Positive?,Remediation Required?,Assigned Owner,Next Validation Date,Source / Notes
FIND-00001,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/GlobalSign_ECC_Root_CA_-_R5.pem,Internal,PEM certificate in /etc/ssl/certs/GlobalSign_ECC_Root_CA_-_R5.pem,EC (ECDSA/ECDH),,,,sha256:179fbc148a3dd00fd24ea13458cc43bfa7f59c8182d783a513f6ebec100c8924,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00002,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Telekom_Security_TLS_ECC_Root_2020.pem,Internal,PEM certificate in /etc/ssl/certs/Telekom_Security_TLS_ECC_Root_2020.pem,EC (ECDSA/ECDH),,,,sha256:578af4ded0853f4e5998db4aeaf9cbea8d945f60b620a38d1a3c13b2bc7ba8e1,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00003,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/SSL.com_TLS_ECC_Root_CA_2022.pem,Internal,PEM certificate in /etc/ssl/certs/SSL.com_TLS_ECC_Root_CA_2022.pem,EC (ECDSA/ECDH),,,,sha256:c32ffd9f46f936d16c3673990959434b9ad60aafbb9e7cf33654f144cc1ba143,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00004,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Buypass_Class_3_Root_CA.pem,Internal,PEM certificate in /etc/ssl/certs/Buypass_Class_3_Root_CA.pem,RSA,,,,sha256:edf7ebbca27a2a384d387b7d4010c666e2edb4843e4c29b4ae1d5b9332e6b24d,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00005,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/c01eb047.0,Internal,PEM certificate in /etc/ssl/certs/c01eb047.0,RSA,,,,sha256:9bea11c976fe014764c1be56a6f914b5a560317abd9988393382e5161aa0493c,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00006,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/0f6fa695.0,Internal,PEM certificate in /etc/ssl/certs/0f6fa695.0,RSA,,,,sha256:bfff8fd04433487d6a8aa60c1a29767a9fc2bbb05e420f713a13b992891d3893,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00007,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/0b1b94ef.0,Internal,PEM certificate in /etc/ssl/certs/0b1b94ef.0,RSA,,,,sha256:5cc3d78e4e1d5e45547a04e6873e64f90cf9536d1ccc2ef800f355c4c5fd70fd,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00008,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/feffd413.0,Internal,PEM certificate in /etc/ssl/certs/feffd413.0,EC (ECDSA/ECDH),,,,sha256:cbb9c44d84b8043e1050ea31a69f514955d7bfd2e2c6b49301019ad61d9f5058,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00009,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/vTrus_ECC_Root_CA.pem,Internal,PEM certificate in /etc/ssl/certs/vTrus_ECC_Root_CA.pem,EC (ECDSA/ECDH),,,,sha256:30fbba2c32238e2a98547af97931e550428b9b3f1c8eeb6633dcfa86c5b27dd3,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00010,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/e8de2f56.0,Internal,PEM certificate in /etc/ssl/certs/e8de2f56.0,RSA,,,,sha256:edf7ebbca27a2a384d387b7d4010c666e2edb4843e4c29b4ae1d5b9332e6b24d,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00011,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/0bf05006.0,Internal,PEM certificate in /etc/ssl/certs/0bf05006.0,EC (ECDSA/ECDH),,,,sha256:3417bb06cc6007da1b961c920b8ab4ce3fad820e4aa30b9acbc4a74ebdcebc65,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00012,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Actalis_Authentication_Root_CA.pem,Internal,PEM certificate in /etc/ssl/certs/Actalis_Authentication_Root_CA.pem,RSA,,,,sha256:55926084ec963a64b96e2abe01ce0ba86a64fbfebcc7aab5afc155b37fd76066,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00013,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Certum_Trusted_Root_CA.pem,Internal,PEM certificate in /etc/ssl/certs/Certum_Trusted_Root_CA.pem,RSA,,,,sha256:fe7696573855773e37a95e7ad4d9cc96c30157c15d31765ba9b15704e1ae78fd,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00014,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/D-TRUST_Root_Class_3_CA_2_2009.pem,Internal,PEM certificate in /etc/ssl/certs/D-TRUST_Root_Class_3_CA_2_2009.pem,RSA,,,,sha256:49e7a442acf0ea6287050054b52564b650e4f49e42e348d6aa38e039e957b1c1,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00015,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/GlobalSign_Root_CA_-_R3.pem,Internal,PEM certificate in /etc/ssl/certs/GlobalSign_Root_CA_-_R3.pem,RSA,,,,sha256:cbb522d7b7f127ad6a0113865bdf1cd4102e7d0759af635a7cf4720dc963c53b,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00016,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/f0c70a8d.0,Internal,PEM certificate in /etc/ssl/certs/f0c70a8d.0,EC (ECDSA/ECDH),,,,sha256:22a2c1f7bded704cc1e701b5f408c310880fe956b5de2a4a44f99c873a25a7c8,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00017,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/GTS_Root_R3.pem,Internal,PEM certificate in /etc/ssl/certs/GTS_Root_R3.pem,EC (ECDSA/ECDH),,,,sha256:34d8a73ee208d9bcdb0d956520934b4e40e69482596e8b6f73c8426b010a6f48,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00018,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/dd8e9d41.0,Internal,PEM certificate in /etc/ssl/certs/dd8e9d41.0,EC (ECDSA/ECDH),,,,sha256:31ad6648f8104138c738f39ea4320133393e3a18cc02296ef97c2ac9ef6731d0,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00019,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/b81b93f0.0,Internal,PEM certificate in /etc/ssl/certs/b81b93f0.0,EC (ECDSA/ECDH),,,,sha256:554153b13d2cf9ddb753bfbe1a4e0ae08d0aa4187058fe60a2b862b2e4b87bcb,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00020,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/2ae6433e.0,Internal,PEM certificate in /etc/ssl/certs/2ae6433e.0,RSA,,,,sha256:e23d4a036d7b70e9f595b1422079d2b91edfbb1fb651a0633eaa8a9dc5f80703,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00021,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/e36a6752.0,Internal,PEM certificate in /etc/ssl/certs/e36a6752.0,RSA,,,,sha256:f356bea244b7a91eb35d53ca9ad7864ace018e2d35d5f8f96ddf68a6f41aa474,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00022,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Certum_EC-384_CA.pem,Internal,PEM certificate in /etc/ssl/certs/Certum_EC-384_CA.pem,EC (ECDSA/ECDH),,,,sha256:6b328085625318aa50d173c98d8bda09d57e27413d114cf787a0f5d06c030cf6,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
