asset,algorithm,cryptographic_service,classification,risk,source_of_evidence,provenance,confidence,last_observed_unix
/usr/lib/x86_64-linux-gnu/cryptsetup/libcryptsetup-token-ssh.so,library: cryptsetup (LUKS) (libcryptsetup-token-ssh.so),crypto library provider,context,medium,sha256:a88f09a7dbb8f94751f23fe14faa5e2df07e162f0b4d3cd72f4764eac72bcf0d,directly observed,high,1786637586
/usr/lib/x86_64-linux-gnu/libargon2.so.1,library: Argon2 (libargon2.so.1),crypto library provider,context,medium,sha256:a4a774ebdd25c5e25087215d0a2f1a428bd05c761b9f77cd14916e62d7ba01ed,directly observed,high,1786637586
/usr/lib/x86_64-linux-gnu/libcrypto.so.3,library: OpenSSL libcrypto (libcrypto.so.3),crypto library provider,context,medium,sha256:56801abd67bd45ca0473a71a22479dc6b044934c99ee1418fccb48e08bd183ea,directly observed,high,1786637586
/usr/lib/x86_64-linux-gnu/libcryptsetup.so.12.7.0,library: cryptsetup (LUKS) (libcryptsetup.so.12.7.0),crypto library provider,context,medium,sha256:4bb8b370ca20bcb9664dd35bb0e44a08c6a647933263756595ce79f14a3e0b60,directly observed,high,1786637586
/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4,library: libgcrypt (libgcrypt.so.20.3.4),crypto library provider,context,medium,sha256:660528c417eaa35598c9045ed555148de658539686c8f01965082b3df971584c,directly observed,high,1786637586
/usr/lib/x86_64-linux-gnu/libgnutls.so.30.31.0,library: GnuTLS (libgnutls.so.30.31.0),crypto library provider,context,medium,sha256:dcadda7f0f82c54ca157b6ca0a5fdc8e1128db4d778109c8e197e2f84c2ac9ba,directly observed,high,1786637586
/usr/lib/x86_64-linux-gnu/libhogweed.so.6.4,library: Nettle (public key) (libhogweed.so.6.4),crypto library provider,context,medium,sha256:47d56894948545036bd49aed718393bf6edb93fce222874dad30b59f085ad9ee,directly observed,high,1786637586
/usr/lib/x86_64-linux-gnu/libkrb5.so.3.3,library: MIT Kerberos (libkrb5.so.3.3),crypto library provider,context,medium,sha256:9386cfdeb2f894869cdd0190b4f110a65ec0c257ac50ddefaefd6cbaeaab3c35,directly observed,high,1786637586
/usr/lib/x86_64-linux-gnu/libnettle.so.8.4,library: Nettle (libnettle.so.8.4),crypto library provider,context,medium,sha256:2d3bda6cfa2d477cd91b8178843d19e081b911a124f04b4be06b6e32c9fabc73,directly observed,high,1786637586
/usr/lib/x86_64-linux-gnu/libnss3.so,library: Mozilla NSS (libnss3.so),crypto library provider,context,medium,sha256:e3e4e571529a979acf74564b7c0be2da921950d89ef9001ff07babed0fc3e5bd,directly observed,high,1786637586
/usr/lib/x86_64-linux-gnu/libsodium.so.23.3.0,library: libsodium (libsodium.so.23.3.0),crypto library provider,context,medium,sha256:f1e78ef8deb65b13d62873fab71546ccab06c77a0115891e55ce8fb108518f96,directly observed,high,1786637586
/usr/lib/x86_64-linux-gnu/libssh.so.4.8.7,library: libssh (libssh.so.4.8.7),crypto library provider,context,medium,sha256:66a3c908ba71ea89be3ddba61704cbb1d9fcbfeaa80b24f2d22174f27e41e36c,directly observed,high,1786637586
/usr/lib/x86_64-linux-gnu/libssl.so.3,library: OpenSSL libssl (libssl.so.3),crypto library provider,context,medium,sha256:03e9019df86b0d66d8f1686c9472b992c0c9196d3f2e2e8f282b37fa55f6ee7b,directly observed,high,1786637586
/usr/local/lib/python3.10/dist-packages/psycopg2_binary.libs/libcrypto-e63abc84.so.1.1,library: OpenSSL libcrypto (libcrypto-e63abc84.so.1.1),crypto library provider,context,medium,sha256:045f1d019e8236db7e53062037ab10cb51fb8ddffe7cdb913bede7796dcc9265,directly observed,high,1786637586
/usr/local/lib/python3.10/dist-packages/psycopg2_binary.libs/libkrb5-fcafa220.so.3.3,library: MIT Kerberos (libkrb5-fcafa220.so.3.3),crypto library provider,context,medium,sha256:b2aab528ff4cab2144e5ce01b246ac09f574a072a53ff63ea81d6bb29b26b8f1,directly observed,high,1786637586
/usr/local/lib/python3.10/dist-packages/psycopg2_binary.libs/libssl-3e69114b.so.1.1,library: OpenSSL libssl (libssl-3e69114b.so.1.1),crypto library provider,context,medium,sha256:d959ea2da4273a4aa53b477df9fe5eb271c949a1494a2c41debd9cbd352cdc85,directly observed,high,1786637586
/usr/local/lib/python3.10/dist-packages/pyzmq.libs/libsodium-19479d6d.so.26.2.0,library: libsodium (libsodium-19479d6d.so.26.2.0),crypto library provider,context,medium,sha256:0ddb0009726fd4ea61cf66f2c29e52829ae95cc6600e392a0974b311e41b1be3,directly observed,high,1786637586
/proc/crypto,kernel algorithm: dh,kernel crypto API,quantum-vulnerable,high,/proc/crypto name=dh,directly observed,high,1786637586
/proc/crypto,kernel algorithm: md5,kernel crypto API,quantum-vulnerable,medium,/proc/crypto name=md5,directly observed,high,1786637586
/proc/crypto,"kernel algorithm: pkcs1pad(rsa,sha512)",kernel crypto API,quantum-vulnerable,high,"/proc/crypto name=pkcs1pad(rsa,sha512)",directly observed,high,1786637586
/proc/crypto,kernel algorithm: rsa,kernel crypto API,quantum-vulnerable,high,/proc/crypto name=rsa,directly observed,high,1786637586
/proc/crypto,kernel crypto API: 83 registered algorithm entries (43 unique names),kernel crypto API,context,info,/proc/crypto,directly observed,high,1786637586
/etc/ssh/ssh_host_rsa_key.pub,SSH host key: RSA,authentication (SSH host identity),quantum-vulnerable,high,/etc/ssh/ssh_host_rsa_key.pub (ssh-rsa),directly observed,high,1786637586
/etc/ssh/ssh_host_dsa_key.pub,SSH host key: DSA,authentication (SSH host identity),quantum-vulnerable,high,/etc/ssh/ssh_host_dsa_key.pub (ssh-dss),directly observed,high,1786637586
/etc/ssh/ssh_host_ed25519_key.pub,SSH host key: Ed25519,authentication (SSH host identity),quantum-vulnerable,high,/etc/ssh/ssh_host_ed25519_key.pub (ssh-ed25519),directly observed,high,1786637586
/etc/ssh/ssh_host_ecdsa_key.pub,SSH host key: ECDSA,authentication (SSH host identity),quantum-vulnerable,high,/etc/ssh/ssh_host_ecdsa_key.pub (ecdsa-sha2-nistp256),directly observed,high,1786637586
/etc/ssl/certs,OS certificate store: 245 certificates,authentication (trust anchors),context,info,/etc/ssl/certs,directly observed,high,1786637586
/etc/ssl/openssl.cnf,crypto policy file (HOME			= .),endpoint configuration,context,info,/etc/ssl/openssl.cnf,directly observed,high,1786637586
openssl (PATH),tool: OpenSSL 3.0.2 15 Mar 2022 (Library: OpenSSL 3.0.2 15 Mar 2022),crypto library provider,context,info,openssl version,directly observed,high,1786637586
