Finding ID,CBOM Record ID,Mission Thread ID,Discovery Date,Discovery Method,Tool / Capability,Coverage Domain,Asset / Endpoint,Internet or Internal,Observed Crypto Artifact,Algorithm / Protocol,Library / Package,Container Image / Digest,SBOM Reference,Evidence Location,Finding Confidence,Authoritative Record Matched?,Validation Status,Blind Spot / Limitation,False Positive?,Remediation Required?,Assigned Owner,Next Validation Date,Source / Notes
FIND-00001,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/lib/x86_64-linux-gnu/cryptsetup/libcryptsetup-token-ssh.so,Internal,shared crypto library installed at /usr/lib/x86_64-linux-gnu/cryptsetup/libcryptsetup-token-ssh.so,library: cryptsetup (LUKS) (libcryptsetup-token-ssh.so),cryptsetup (LUKS) (libcryptsetup-token-ssh.so),,,sha256:a88f09a7dbb8f94751f23fe14faa5e2df07e162f0b4d3cd72f4764eac72bcf0d,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00002,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/lib/x86_64-linux-gnu/libargon2.so.1,Internal,shared crypto library installed at /usr/lib/x86_64-linux-gnu/libargon2.so.1,library: Argon2 (libargon2.so.1),Argon2 (libargon2.so.1),,,sha256:a4a774ebdd25c5e25087215d0a2f1a428bd05c761b9f77cd14916e62d7ba01ed,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00003,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/lib/x86_64-linux-gnu/libcrypto.so.3,Internal,shared crypto library installed at /usr/lib/x86_64-linux-gnu/libcrypto.so.3,library: OpenSSL libcrypto (libcrypto.so.3),OpenSSL libcrypto (libcrypto.so.3),,,sha256:56801abd67bd45ca0473a71a22479dc6b044934c99ee1418fccb48e08bd183ea,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00004,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/lib/x86_64-linux-gnu/libcryptsetup.so.12.7.0,Internal,shared crypto library installed at /usr/lib/x86_64-linux-gnu/libcryptsetup.so.12.7.0,library: cryptsetup (LUKS) (libcryptsetup.so.12.7.0),cryptsetup (LUKS) (libcryptsetup.so.12.7.0),,,sha256:4bb8b370ca20bcb9664dd35bb0e44a08c6a647933263756595ce79f14a3e0b60,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00005,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4,Internal,shared crypto library installed at /usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4,library: libgcrypt (libgcrypt.so.20.3.4),libgcrypt (libgcrypt.so.20.3.4),,,sha256:660528c417eaa35598c9045ed555148de658539686c8f01965082b3df971584c,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00006,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/lib/x86_64-linux-gnu/libgnutls.so.30.31.0,Internal,shared crypto library installed at /usr/lib/x86_64-linux-gnu/libgnutls.so.30.31.0,library: GnuTLS (libgnutls.so.30.31.0),GnuTLS (libgnutls.so.30.31.0),,,sha256:dcadda7f0f82c54ca157b6ca0a5fdc8e1128db4d778109c8e197e2f84c2ac9ba,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00007,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/lib/x86_64-linux-gnu/libhogweed.so.6.4,Internal,shared crypto library installed at /usr/lib/x86_64-linux-gnu/libhogweed.so.6.4,library: Nettle (public key) (libhogweed.so.6.4),Nettle (public key) (libhogweed.so.6.4),,,sha256:47d56894948545036bd49aed718393bf6edb93fce222874dad30b59f085ad9ee,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00008,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/lib/x86_64-linux-gnu/libkrb5.so.3.3,Internal,shared crypto library installed at /usr/lib/x86_64-linux-gnu/libkrb5.so.3.3,library: MIT Kerberos (libkrb5.so.3.3),MIT Kerberos (libkrb5.so.3.3),,,sha256:9386cfdeb2f894869cdd0190b4f110a65ec0c257ac50ddefaefd6cbaeaab3c35,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00009,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/lib/x86_64-linux-gnu/libnettle.so.8.4,Internal,shared crypto library installed at /usr/lib/x86_64-linux-gnu/libnettle.so.8.4,library: Nettle (libnettle.so.8.4),Nettle (libnettle.so.8.4),,,sha256:2d3bda6cfa2d477cd91b8178843d19e081b911a124f04b4be06b6e32c9fabc73,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00010,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/lib/x86_64-linux-gnu/libnss3.so,Internal,shared crypto library installed at /usr/lib/x86_64-linux-gnu/libnss3.so,library: Mozilla NSS (libnss3.so),Mozilla NSS (libnss3.so),,,sha256:e3e4e571529a979acf74564b7c0be2da921950d89ef9001ff07babed0fc3e5bd,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
