asset,algorithm,cryptographic_service,classification,risk,source_of_evidence,provenance,confidence,last_observed_unix
./tests/test_gate_g2_qsearch.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g2_qsearch.py:33,statically detected,medium,1785911044
./tests/test_gate_g2_workbook.py,RSA,key establishment / digital signature,quantum-vulnerable,high,./tests/test_gate_g2_workbook.py:64,statically detected,medium,1786051614
./tests/test_gate_g1_agent.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g1_agent.py:40,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g1_agent.py:41,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g1_agent.py:43,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g1_agent.py:44,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g1_agent.py:46,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g1_agent.py:50,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g1_agent.py:51,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g1_agent.py:52,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g1_agent.py:55,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g1_agent.py:71,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g1_agent.py:72,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g1_agent.py:79,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g1_agent.py:81,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g1_agent.py:83,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,X25519,key establishment,quantum-vulnerable,high,./tests/test_gate_g1_agent.py:98,statically detected,medium,1785911035
./tests/test_gate_g1_agent.py,X25519MLKEM768 hybrid,key establishment (TLS 1.3 hybrid),pqc-ready,info,./tests/test_gate_g1_agent.py:98,statically detected,medium,1785911035
./tests/conftest.py,wolfSSL,library usage,context,medium,./tests/conftest.py:25,statically detected,medium,1785911003
./tests/conftest.py,TLS (OpenSSL),encrypted connection,context,medium,./tests/conftest.py:82,statically detected,medium,1785911003
./tests/conftest.py,RSA,key establishment / digital signature,quantum-vulnerable,high,./tests/conftest.py:83,statically detected,medium,1785911003
./tests/conftest.py,ECDSA,digital signature,quantum-vulnerable,high,./tests/conftest.py:84,statically detected,medium,1785911003
./tests/conftest.py,DH,key establishment,quantum-vulnerable,high,./tests/conftest.py:85,statically detected,medium,1785911003
./tests/conftest.py,pyca/cryptography,library usage,context,medium,./tests/conftest.py:87,statically detected,medium,1785911003
./tests/conftest.py,RSA/EC (library keygen),key establishment / digital signature,quantum-vulnerable,medium,./tests/conftest.py:88,statically detected,medium,1785911003
./tests/conftest.py,ML-KEM,key establishment,pqc-ready,info,./tests/conftest.py:91,statically detected,medium,1785911003
./tests/conftest.py,ML-KEM,key establishment,pqc-ready,info,./tests/conftest.py:91,statically detected,medium,1785911003
./tests/test_gate_g3_ipc_ems.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g3_ipc_ems.py:104,statically detected,medium,1785911073
./tests/test_gate_g3_ipc_ems.py,ML-DSA,digital signature,pqc-ready,info,./tests/test_gate_g3_ipc_ems.py:104,statically detected,medium,1785911073
./tests/test_gate_g3_ipc_ems.py,ML-KEM,key establishment,pqc-ready,info,./tests/test_gate_g3_ipc_ems.py:108,statically detected,medium,1785911073
./tests/test_gate_g0_fips.py,wolfSSL,library usage,context,medium,./tests/test_gate_g0_fips.py:12,statically detected,medium,1785911162
./host-inventory/executive-summary.txt,Ed25519,digital signature,quantum-vulnerable,high,./host-inventory/executive-summary.txt:14,statically detected,medium,1786381240
./host-inventory/m2302-inventory.json,Ed25519,digital signature,quantum-vulnerable,high,./host-inventory/m2302-inventory.json:55,statically detected,medium,1786381240
./host-inventory/m2302-inventory.json,Ed25519,digital signature,quantum-vulnerable,high,./host-inventory/m2302-inventory.json:56,statically detected,medium,1786381240
./host-inventory/m2302-inventory.json,Ed25519,digital signature,quantum-vulnerable,high,./host-inventory/m2302-inventory.json:59,statically detected,medium,1786381240
./host-inventory/findings.json,Ed25519,digital signature,quantum-vulnerable,high,./host-inventory/findings.json:287,statically detected,medium,1786381240
./host-inventory/findings.json,Ed25519,digital signature,quantum-vulnerable,high,./host-inventory/findings.json:288,statically detected,medium,1786381240
./host-inventory/findings.json,Ed25519,digital signature,quantum-vulnerable,high,./host-inventory/findings.json:292,statically detected,medium,1786381240
./host-inventory/cbom.cdx.json,Ed25519,digital signature,quantum-vulnerable,high,./host-inventory/cbom.cdx.json:65,statically detected,medium,1786381240
./host-inventory/cbom.cdx.json,Ed25519,digital signature,quantum-vulnerable,high,./host-inventory/cbom.cdx.json:74,statically detected,medium,1786381240
./ipc/protocol.md,ML-KEM,key establishment,pqc-ready,info,./ipc/protocol.md:35,statically detected,medium,1785909726
./ipc/protocol.md,ML-KEM,key establishment,pqc-ready,info,./ipc/protocol.md:74,statically detected,medium,1785909726
./ipc/protocol.md,ML-KEM,key establishment,pqc-ready,info,./ipc/protocol.md:75,statically detected,medium,1785909726
./ipc/protocol.md,ML-KEM,key establishment,pqc-ready,info,./ipc/protocol.md:76,statically detected,medium,1785909726
./ipc/protocol.md,ML-DSA,digital signature,pqc-ready,info,./ipc/protocol.md:90,statically detected,medium,1785909726
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:37,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,ML-KEM,key establishment,pqc-ready,info,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:641,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,ML-KEM (Kyber),key establishment,pqc-ready,info,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:641,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,ML-KEM,key establishment,pqc-ready,info,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:643,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:652,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:653,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:654,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:655,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,ML-KEM,key establishment,pqc-ready,info,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:666,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,ML-KEM,key establishment,pqc-ready,info,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:668,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,ML-DSA,digital signature,pqc-ready,info,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:684,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,ML-DSA,digital signature,pqc-ready,info,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:686,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:705,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:706,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:707,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:708,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:727,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:732,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:738,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:759,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:783,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:784,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:785,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:786,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:847,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:848,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,wolfSSL,library usage,context,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:849,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,Ed25519,digital signature,quantum-vulnerable,high,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:1287,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,RC4,encrypted connection,quantum-vulnerable,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:1624,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,RC4,encrypted connection,quantum-vulnerable,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:1625,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,RC4,encrypted connection,quantum-vulnerable,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:1626,statically detected,medium,1785826160
./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt,RC4,encrypted connection,quantum-vulnerable,medium,./wolfssl-5.9.2-commercial-fips-linuxv5.2.1/CMakeLists.txt:1629,statically detected,medium,1785826160
